,Duration (hrs),Stopovers,Days Before Departure,Total Fare (BDT),Day,Month,Year,Weekday,Dep_Hour,Month_Sin,Month_Cos,Day_Sin,Day_Cos,Weekday_Sin,Weekday_Cos,Dep_Hour_Sin,Dep_Hour_Cos,Class_Encoded
Duration (hrs),1.0,0.7362838183067135,0.001137100039665217,0.3522611202847739,0.006874890363076516,-0.00491631018549035,0.0050462555959579275,0.0004671934574055402,-0.0020303073205833865,0.0021388908893208514,0.0008653153689191641,-0.005115603097158952,0.0009941091681903034,0.004363533398655754,0.003574768009448842,0.0040639675714063146,-0.0064303151006922165,0.004651653437465796
Stopovers,0.7362838183067135,1.0,0.0036828407183891335,0.31850769676904966,0.0038578139868624883,-0.003147489412536798,0.004770093049672765,-0.000126308862178872,-0.0010672595952955506,0.001927217799993998,0.000717635275145335,-0.0027322372534691855,-0.0017981162482916032,0.0015513972057725801,0.002740236812102511,0.004413391278587473,-0.006973592843472397,0.0007084497480479036
Days Before Departure,0.001137100039665217,0.0036828407183891335,1.0,-0.06583513745022168,-0.0019107726006542382,0.004193039359109784,0.21382325636996768,-0.0015934538331734201,0.00019946097528767906,-0.0007876153260257882,0.0037747342604059616,0.0036294384807646113,-0.006477365062583205,0.0021147504196807818,0.003628061749324903,0.001720197711959787,0.0005294527436249641,-0.003441436160805595
Total Fare (BDT),0.3522611202847739,0.31850769676904966,-0.06583513745022168,1.0,-0.005519282669729124,-0.008810976512898729,0.025896405017358362,0.0010909725186041745,-0.004957404721607988,0.019927672885370434,0.03162756588957672,0.003603917731321843,0.008795316120382956,-0.0001489482377970139,0.0030801916361775064,0.007436066104892137,-0.0063795057727471256,0.4550642836674324
Day,0.006874890363076516,0.0038578139868624883,-0.0019107726006542382,-0.005519282669729124,1.0,0.007116301805555333,-0.07432422185739329,0.020015888287776055,0.008663351522555138,-0.0076760845018148125,-0.0022212807484063178,-0.793953211594647,0.03416147203847272,-0.016410275743744932,-0.01764379145499197,-0.0055007624358532235,0.008080452021428075,0.0011792245444591355
Month,-0.00491631018549035,-0.003147489412536798,0.004193039359109784,-0.008810976512898729,0.007116301805555333,1.0,-0.5425586621222324,-0.00967718920613823,0.0003708263556788139,-0.7617268172288102,0.21401497174679915,0.0038824106656046116,0.014920254268999308,0.0046340915642058495,0.012436574302916177,0.002574349254612049,-0.0015848635674587152,0.0052639742216253555
Year,0.0050462555959579275,0.004770093049672765,0.21382325636996768,0.025896405017358362,-0.07432422185739329,-0.5425586621222324,1.0,0.012035663645589941,-0.008949725618422997,0.3601567330274012,0.3440841367669478,0.05429939656919173,-0.010574716543211543,-0.007505636344386101,-0.006830858802102975,0.0065496666059158305,-0.0019796259683819224,-0.0043600000409235755
Weekday,0.0004671934574055402,-0.000126308862178872,-0.0015934538331734201,0.0010909725186041745,0.020015888287776055,-0.00967718920613823,0.012035663645589941,1.0,0.0015607311869418484,-0.0016453202509763495,0.00011929063443554818,-0.009296060907137934,-0.0023288407655119177,-0.7330325837785234,-0.35349842165541356,0.0017875650481326063,-0.004683700191851622,0.010015768697360017
Dep_Hour,-0.0020303073205833865,-0.0010672595952955506,0.00019946097528767906,-0.004957404721607988,0.008663351522555138,0.0003708263556788139,-0.008949725618422997,0.0015607311869418484,1.0,0.0045037090330981005,-0.008903299327070126,-0.00823246549807786,0.0048877349817531696,0.0020383817768438272,-0.0003981289936069633,-0.7744110322531632,-0.10636405479684284,-0.0001604655847626169
Month_Sin,0.0021388908893208514,0.001927217799993998,-0.0007876153260257882,0.019927672885370434,-0.0076760845018148125,-0.7617268172288102,0.3601567330274012,-0.0016453202509763495,0.0045037090330981005,1.0,-0.009095901795676493,-0.0037740595768359555,-0.015117481504215446,0.003227649110590904,0.006249116316045126,-0.00506309489344426,0.00045774173317628954,-0.0009936275499525884
Month_Cos,0.0008653153689191641,0.000717635275145335,0.0037747342604059616,0.03162756588957672,-0.0022212807484063178,0.21401497174679915,0.3440841367669478,0.00011929063443554818,-0.008903299327070126,-0.009095901795676493,1.0,-0.0009420297457039268,-0.003912116746935065,0.0006616477595841988,0.0012218367967136922,0.008481850136910338,0.002081971353870038,0.001385799578228428
Day_Sin,-0.005115603097158952,-0.0027322372534691855,0.0036294384807646113,0.003603917731321843,-0.793953211594647,0.0038824106656046116,0.05429939656919173,-0.009296060907137934,-0.00823246549807786,-0.0037740595768359555,-0.0009420297457039268,1.0,0.006499849594401907,0.006952952914469894,0.003119511792131681,0.00410411699600096,-0.002263859729582656,-0.00043843342407778993
Day_Cos,0.0009941091681903034,-0.0017981162482916032,-0.006477365062583205,0.008795316120382956,0.03416147203847272,0.014920254268999308,-0.010574716543211543,-0.0023288407655119177,0.0048877349817531696,-0.015117481504215446,-0.003912116746935065,0.006499849594401907,1.0,0.004364957271609047,-0.001764881742835018,-0.006818915721087383,0.001645328175117988,-0.0073346386383835215
Weekday_Sin,0.004363533398655754,0.0015513972057725801,0.0021147504196807818,-0.0001489482377970139,-0.016410275743744932,0.0046340915642058495,-0.007505636344386101,-0.7330325837785234,0.0020383817768438272,0.003227649110590904,0.0006616477595841988,0.006952952914469894,0.004364957271609047,1.0,-0.001932770506961808,-0.004999917114386875,0.002900713169762834,-0.00943518875622468
Weekday_Cos,0.003574768009448842,0.002740236812102511,0.003628061749324903,0.0030801916361775064,-0.01764379145499197,0.012436574302916177,-0.006830858802102975,-0.35349842165541356,-0.0003981289936069633,0.006249116316045126,0.0012218367967136922,0.003119511792131681,-0.001764881742835018,-0.001932770506961808,1.0,-0.00020635530863814073,0.0025904756691202727,-0.003568400061188236
Dep_Hour_Sin,0.0040639675714063146,0.004413391278587473,0.001720197711959787,0.007436066104892137,-0.0055007624358532235,0.002574349254612049,0.0065496666059158305,0.0017875650481326063,-0.7744110322531632,-0.00506309489344426,0.008481850136910338,0.00410411699600096,-0.006818915721087383,-0.004999917114386875,-0.00020635530863814073,1.0,0.0027644290311659696,-0.002421797007167281
Dep_Hour_Cos,-0.0064303151006922165,-0.006973592843472397,0.0005294527436249641,-0.0063795057727471256,0.008080452021428075,-0.0015848635674587152,-0.0019796259683819224,-0.004683700191851622,-0.10636405479684284,0.00045774173317628954,0.002081971353870038,-0.002263859729582656,0.001645328175117988,0.002900713169762834,0.0025904756691202727,0.0027644290311659696,1.0,0.002361289677314892
Class_Encoded,0.004651653437465796,0.0007084497480479036,-0.003441436160805595,0.4550642836674324,0.0011792245444591355,0.0052639742216253555,-0.0043600000409235755,0.010015768697360017,-0.0001604655847626169,-0.0009936275499525884,0.001385799578228428,-0.00043843342407778993,-0.0073346386383835215,-0.00943518875622468,-0.003568400061188236,-0.002421797007167281,0.002361289677314892,1.0
